SatzID	Verb	Satz	Annotator A	Annotator B	Annotator C	Annotator D	Annotator E	Annotator F	Annotator G	Annotator H	Annotator I	Annotator J	
tueba-s4324-0	sagen	Finanzvorstand Joachim Kröske sagte, daß die Deutschen im vergangenen Jahr auch mit den Franzosen über eine Fusion verhandelt hätten, jedoch ohne Erfolg.	*	78741	*	78848	*	78741	*	*	*	*	
tueba-s7811-0	sagen	Nato-Generalsekretär Solana sagte in einem Interview mit dem Spiegel, die Nato unternehme größte Anstrengungen, um Verluste unter der Zivilbevölkerung zu vermeiden.	*	*	78741	78848	*	*	*	*	*	*	
tueba-s14774-0	wissen	Schlingensief weiß, daß er sein Theater, wenn überhaupt, nur an diesem Haus machen kann, und das Haus ist selbstbewußt genug, um zu wissen, daß die Gefahr, ohne schlingensiefartige Aktivitäten in Routine zu versacken, größer ist als die, mit ihm auseinanderzubrechen.	77221	*	*	77221	*	*	77221	*	*	*	
tueba-s14795-1	kaufen	Und Murdoch hatte TM3 vor allem gekauft, um den Bertelsmann-Konzern zu ärgern, weil der ihn beim Sender Vox( den sich beide teilen) nicht richtig machen läßt.	*	*	*	74296	*	*	74296	*	*	*	
tueba-s20387-5	sagen	' Für Mai und Juni gibt es langsam keine Betten mehr, und unsere Erfahrung zeigt, daß die gesamte Saison ausgebucht sein wird', sagt der Präsident des örtlichen Hotelverbands, Pedro Canellas.	*	*	*	78848	*	*	78741	*	*	*	
tueba-s30602-1	wissen	Die Patrizier sind, da sie den Grund für sein plötzliches Verschwinden nicht wissen, voller Sorge.	*	77221	*	77221	*	77221	142151	*	*	*	
tueba-s33743-3	sagen	Die Raumsituation der Schule Schmidtstraße ist also untragbar,' es ist sehr viel Idealismus erforderlich, um hier überhaupt Schulunterricht zu ermöglichen', sagt Leiterin von Bloh.	*	*	*	78848	*	*	78741	*	*	*	
tueba-s37597-0	wissen	Nur wer weiß, wie der Betrieb abläuft, kann etwas von sich und anderen fordern.	*	77221	*	77221	*	*	*	*	*	*	
tueba-s41099-5	übrig#lassen	Er mache eine' Art Musik, die niemand mehr macht', sagt er da, und: man müsse' gute Songs und Gefühle' produzieren und immer einen Rest Geheimnis übriglassen.	*	75123	*	75123	*	*	*	*	*	*	
tueba-s46635-0	sagen	Sagt Angel Cuellar, der zu Anfang dieser Saison vom andalusischen Club zum FC Barcelona gewechselt ist und beim 5:1-Sieg der Katalanen über Betis zuschauen mußte.	78848	*	*	78848	*	78848	*	*	*	*	
tueba-s46897-2	sagen	Ob das so sein muß oder nicht, darüber sagt der Bildband nichts.	73759	78848	*	73759	*	73759	78741	*	*	*	
tueba-s49203-0	glauben	' Ich glaube, da kann ich Ihnen wenig helfen', antwortet die Kandidatin und drückt der alten Dame ein wenig ratlos die Broschüre über grüne Wohnungspolitik in die Hand.	77245	*	*	77245	*	*	*	*	*	*	
tueba-s49978-0	übrig#lassen	Das Videoclip-Einsatzbriefing aus dem UN-Hauptquartier läßt an Deutlichkeit nichts zu wünschen übrig:	75123	75123	*	75123	*	*	75123	*	*	*	
tueba-s53757-2	übrig#lassen	Selbst für den französischen Markt haben AC produziert, aber auch von dort läßt der finanzielle Rückfluß bisher zu wünschen übrig.	*	*	*	75123	*	*	75123	*	*	*	
tueba-s56843-2	sagen	' Thoma ist sicher von Absprung und Flug her einer der Weltbesten, aber die Landung gehört auch dazu', sagte Österreichs Toni Innauer.	78741	*	*	78848	*	*	78741	*	*	*	
tueba-s60603-3	üben	Raley weiß es, und sie weiß auch, daß der Weg zur Erfüllung letztendlich einem drögen Motto unterliegt: Üben, üben üben.	*	*	77513	77513	*	*	*	*	*	77513	
tueba-s62038-0	sagen	' Hier', sagte ein Joachim zu seiner Büroleiterin,' mehr ist heute nicht drin.'	78741	78741	*	78848	*	*	*	*	*	*	
tueba-s68719-3	übrig#lassen	Die Zusagen in Sachen Umweltverträglichkeit seitens der brasilianischen Regierung sind äußerst dünn- ganz abgesehen davon, daß die Selbstverpflichtung Brasilias bei der ersten Kredittranche mehr als zu wünschen übrig ließ: Die Erstellung eines detaillierten Aktionsprogramms, systematische Beobachtung der sozialen und ökologischen Schäden, separate Erfassung der Ausgabenkategorien für soziale und ökologische Umsiedlungskosten, Aufstockung personeller Kapazitäten in den Umweltabteilungen, Einrichtung von Studien, Arbeitsgruppen usw.	*	*	*	75123	*	*	1	*	*	*	
tueba-s74209-7	übrig#lassen	' Ich verstehe wohl, daß Menschen, die alles auf ihre Person beziehen, sagen, die Revolution sei zu Ende, wenn diese sie in eine Lage gebracht hat, die für sie als Einzelmenschen nichts mehr zu wünschen übrigläßt.	75123	*	*	75123	*	*	*	*	*	*	
tueba-s77213-0	glauben	Ehmke: Ich glaube, daß es da zwei Elemente gibt.	*	78334	*	77245	*	*	*	*	*	*	
tueba-s79069-1	sagen	' Sehen Sie', sagt eine Kollegin, die sonst in der Handarbeitsabteilung steht,' das Geld wird ja nicht mehr.	*	*	*	78848	*	*	78741	*	*	*	
tueba-s80879-2	übrig#lassen	Jederzeit waren wir kündbar, wenn etwa' the right attitude' zu wünschen übrig ließ; trübselige Arbeitsbedingungen also und Kontrollmaßnahmen, die in Deutschland einfach illegal wären.	75123	*	*	75123	*	*	*	*	*	*	
tueba-s83751-0	ertragen	Die größten Lasten und die härtesten Lebensbedingungen ertrugen die Bauern.	77454	*	*	74518	*	77454	77454	77454	*	*	
tueba-s85053-0	übrig#lassen	Die Haltung der Anchuraner läßt unterdessen an Klarheit nichts zu wünschen übrig:	75123	75123	*	75123	*	1	*	75123	*	*	
tueba-s87597-4	sagen	Leute wie Fritz J. Raddatz werden immer da konkret, wo sie von ihrer eigenen( beschränkten) Befindlichkeit abstrahieren müßten, und bleiben immer dann abstrakt, wenn sie sagen müßten, was sie eigentlich meinen.	78848	78741	*	78848	*	78741	*	*	*	*	
tueba-s92619-4	wissen	Wenn eine Frau ein Kind will und, weil nichts passiert, nach sechs Monaten zum Gynäkologen geht, ist sie oft in der ganzen medizinischen Tretmühle, bevor sie überhaupt weiß, was mit ihr passiert.	*	*	*	77221	*	77221	77221	*	*	*	
tueba-s98900-1	übrig#lassen	Ein Anknüpfen an die letzte Schaffensphase vor dem großen Rückzug in knurrige Folktraditionals, das Fastverstummen des in den Sechzigern gefundenen, über die Siebziger durchgehaltenen, in den Achtzigern schon schwer zerfaserten Legendentons, in den Neunzigern erst wieder aufgenommen mit der triumphalen, zugleich heavy testamentarischen' Time Out Of Mind'- Platte vom vergangenen Jahr; ein Stück, das von Anbeginn an nichts übrigläßt: zerbrochene Leben, zerbrochene Flaschen, zerbrochene Betten, zerbrochene Hits-' ain't no use jivin', ain't no use jokin', everything is broken'.	*	*	*	75123	*	*	75123	*	*	*	
tueba-s100092-1	wissen	Natürlich ist ihm unwohl, und er' weiß jetzt schon, was passiert, wenn die Langeweile kommt' vor oder während des WM-Turniers.	*	77221	*	77221	*	*	*	*	*	*	
tueba-s100209-0	wissen	' Wir wissen ja alle, daß Westerwelle recht hat', sagt Paul Friedhoff.	*	142151	*	77221	*	77221	77221	*	*	*	
tueba-s100319-1	wissen	Der 43jährige stellvertretende Leiter der Mudra arbeitete acht Jahre als Streetworker in der offenen Drogenszene und weiß, wo der Heroinkonsum endet.	*	*	*	77221	*	*	77221	*	*	*	
tueba-s100321-0	wissen	Alfred weiß das auch:	77221	*	*	77221	*	*	*	77221	*	*	
tueba-s100346-0	wissen	' Ich weiß gut, wie das war, als ich richtig schußgeil war.'	77221	*	*	77221	*	*	*	77221	*	*	
tueba-s100511-1	wissen	Zum Super-GAU für den Fußballbesessenen gehört aber, keinen Fernseher in seiner Nähe zu wissen, während Bertis Bolzer der WM-Glorie in Frankreich hinterhergrätschen- oder keine fußballbegeisterte Gesellschaft.	*	*	1	142151	*	*	77221	*	*	*	
tueba-s100601-0	wissen	Ich wüßte dafür auf jeden Fall eine bessere Verwendung.	*	*	77221	77221	*	*	*	*	*	*	
tueba-s100606-0	wissen	Ich weiß, wie wichtig Gewerkschaften sind, und bin auch nach wie vor ein Anhänger der Einheitsgewerkschaft.	*	*	*	77221	*	*	*	77221	*	*	
tueba-s100714-0	wissen	Und Fehmarns parteiloser Bürgermeister Klaus Tscheuschner weiß:	*	*	*	77221	*	*	*	142151	*	*	
tueba-s100719-0	wissen	' Wissen Sie', sinniert Betriebsrat Heinecke,' eine Brücke kennt auch keinen Streik.	*	*	*	77221	*	*	*	142151	*	*	
tueba-s101833-1	wissen	' Horizontal auf dem Fünfsitzer liegend, gewöhnliches Rennmodell 1920, ohne Führungsstange, Reifen 15 Millimeter, Radentwicklung siebenundfünfzig Meter vierunddreißig', so fuhr das Fünferteam( neben Jacobs noch Georges Webb, Sammy White, Bill Gilbey und Ted Oxborrow) über eine 10.000-Meilen-Piste, die von Frankreich bis Sibirien( sie wissen schon, die bekannte Strecke Paris-Schwerte-Moskau) parallel zu den Schienen des konkurrierenden' Rapidexpress' verlief, wenn man der Schilderung des historischen Ereignisses im New York Herald glaubt.	77221	*	*	77221	*	*	77221	*	*	*	
tueba-s101847-4	wissen	Für Jarry jedenfalls, diesen Fahrradnarren aus der Bretagne, hat sich selbst Jesus nicht per pedes, sondern per Pedal nach Golgatha aufgemacht: In seiner Erzählung' Die Passion als ein bergauf führendes Radrennen betrachtet', kommt es für den Sohn Gottes im Rennen gegen die zwei Schächer( sie wissen schon, die mitverurteilten Diebe) nach anfänglich gutem Start und zwei unbedeutenden Stürzen zu dem' beklagenswerten, uns allen bekannten Zwischenfall' in der zwölften Runde:	*	*	*	77221	*	77221	77221	*	*	*	
tueba-s101849-0	wissen	Wir wissen ja, daß er das Rennen als Flieger fortsetzte, aber das gehört bereits zu einer anderen Geschichte.'	77221	*	*	77221	*	*	*	*	*	*	
tueba-s101934-0	wissen	Meine Mutter weiß( mal wieder) die Antwort: Natürlich heißt der Pümpel Saugglocke!	77221	*	*	77221	*	77221	*	*	*	*	
tueba-s101957-3	wissen	Und wer mal ausprobiert hat, wie( in beiden Fällen) bescheuert die Uhr mit anderen Zeigerstellungen aussieht, weiß, warum die Uhr lieber lacht.	*	*	*	77221	*	*	77221	*	*	*	
tueba-s102085-0	wissen	Der Leiter des Fachbereichs wußte von meinem Problem.	77221	*	*	77221	*	*	*	*	*	*	
tueba-s102128-0	wissen	Weil die Leute wissen wollten, was ich eigentlich tue, taufte ich es Psychosoziologie des wissenschaftlichen Wissens.	*	*	*	77221	*	77221	77221	*	*	*	
tueba-s102213-0	wissen	Pätz, seit knapp einem Jahr Nachfolger des in Ruhestand getretenen Andreas Feldtkeller, weiß auch, wie solche Konflikte zu lösen sind: durch Moderation.	77221	*	*	77221	*	*	*	*	*	*	
tueba-s102216-2	wissen	Pätz, der zuvor in der Altbausanierung in Leipzig-Connewitz gearbeitet hat, weiß, daß er damit viel verlangt.	77221	*	*	77221	*	*	*	*	*	*	
tueba-s102293-2	wissen	Was für ein falscher Gedanke, denn im Islam gibt es keinen Zwang, und man kann nicht wissen, wer gut oder schlecht ist.'	*	77221	*	77221	*	*	*	*	*	*	
tueba-s102318-1	wissen	Nachdem sie fast 40 Jahre lang für die SPD in Bremerhaven Kommunalpolitik machte- zuletzt sechs Jahre lang als bislang einzige Vorsteherin der Stadtverordnetenversammlung- weiß sie es besser.	142151	77221	*	77221	*	77221	*	*	*	*	
tueba-s102341-2	wissen	Aber welche Verbrechen sich im Krieg tatsächlich zutrugen, was wirklich alles geschah-' das wußte ich nicht.'	*	*	*	77221	*	77221	*	*	*	*	
tueba-s102421-0	wissen	Kaum jemand weiß, wohin es gehen soll.	77221	*	*	77221	*	*	*	*	*	*	
tueba-s102765-0	wissen	Ich weiß es noch wie gestern: meine erste Schicht absolvierte ich an dem Freitag vor dem WM-Finale in der Ruhrlandhalle.	*	77221	*	77221	*	77221	*	*	*	*	
tueba-s103050-0	sagen	' Das Wichtigste', sagt Jacquet daher zu jeder Tages- und Nachtzeit,' ist das Leben der Gruppe.'	*	*	*	78848	*	*	78741	*	*	*	
tueba-s103097-0	wissen	Alles, was wir von der Welt wissen, wird uns dort Tag für Tag, Spiel für Spiel bestätigt.	*	*	*	77221	*	*	77221	*	*	*	
tueba-s103109-1	wissen	Er entwickelt ständig neue Theorien, weil er weiß, daß es im Fußball genauso ist, wie es Karl Marx in seiner Dialektik erklärt hat:	77221	*	*	77221	*	77221	*	*	*	*	
tueba-s103164-0	wissen	Man weiß ja, daß Dokumentarfilme viel weniger Geld kosten.	*	*	*	77221	*	*	77221	*	*	*	
tueba-s103427-0	wissen	Wissen die Veranstalter nicht, daß sich erst morgen das Datum zum siebten Mal jährt, an dem der Hauptstadtbeschluß gefaßt wurde, war es doch der 20. Juni 1991, ein Donnerstag?!	77221	*	*	77221	*	*	77221	*	*	77221	
tueba-s103503-0	wissen	Das Protestpotential gegen das AKW, das weiß auch die einzige Grüne im Gemeinderat, wird durch die Abhängigkeit korrumpiert.	77221	*	*	77221	*	*	77221	*	*	*	
tueba-s103692-0	wissen	Ich weiß ja nicht was dieser Dennis für einer ist, aber entweder der hat 'nen Dauerständer, oder er wirft sich ständig diese neuen Sexpillen ein.	*	*	*	77221	*	*	77221	*	*	*	
tueba-s103698-1	wissen	Ich würde zum Beispiel schon mal gerne wissen, aus welcher Motivation heraus eine junge Frau wie Tanja so Scheiße sein kann.	*	*	*	77221	*	*	77221	*	*	*	
tueba-s103699-1	wissen	Aber die Storyliner wollen das wohl nicht so dringend wissen...	*	*	*	77221	*	77221	*	77221	*	*	
tueba-s103705-1	wissen	Ich hab' momentan einfach den Eindruck, daß die Storyliner bei Frank Levinsky nicht mehr wissen, wie 's weitergeht...	77221	*	*	77221	*	*	*	*	*	*	
tueba-s103808-1	wissen	Miriam: Und da gehört weiß Gott auch eine gehörige Portion Glück dazu.	*	*	*	78848	*	77221	77221	*	*	*	
tueba-s103951-4	wissen	Dieser soll aber eben nicht allein ökonomischen Kriterien folgen, sondern der Mensch solle sich darin in seiner Grundkonstitution, in seinen Defiziten auch aufgefangen wissen.	*	*	*	142151	*	*	*	142151	*	*	
tueba-s103980-0	wissen	Sie wußte, wie jetzt bekannt wurde, den Gatten zu beruhigen:	142151	*	*	142151	*	142151	*	*	*	*	
tueba-s103991-2	wissen	Wie ging es dann weiter? wollte der Untersuchungausschuß wissen.	77221	*	*	77221	*	*	77221	*	*	*	
tueba-s104048-0	wissen	Aber der Messie weiß aus Erfahrung: Solch lachendes Geplänkel mündet, wenn er beiseite tritt, in peinlichem fassungslosem Schweigen.	*	*	*	77221	*	77221	*	*	*	*	
tueba-s104203-0	wissen	Wissen Sie, das Schweißen von Aluminium ist eine diffizile Arbeit mit Leuten, die wir uns über Jahre herangezogen haben.'	*	*	*	77221	*	77221	*	*	*	*	
tueba-s104250-0	wissen	Und, Voss, Sie wissen ja, was man über das Bier des Sponsors sagt?!	*	*	*	77221	*	*	77221	*	*	*	
tueba-s104471-0	wissen	Daß er um die Ironie dieser Sehnsucht nach der verlorenen Weiblichkeit durchaus weiß, deutet Sofri nur an:	*	*	*	77221	*	*	77221	*	*	*	
tueba-s104525-1	wissen	Den Vorwurf von GM an UAW versteht nur, wer um das stereotyp gewordene Zerrbild des amerikanischen Gewerkschaftlers weiß: Gewerkschaftlich organisierte Elektriker z.B. weigern sich, einen Fernseher zu verrücken, weil diese Aufgabe nicht in ihrer Arbeitsbeschreibung steht und weil sie zum Vertragsbereich einer ganz anderen Gewerkschaft gehört.	77221	*	*	77221	*	*	*	*	*	*	
tueba-s104591-1	sagen	Sie ist aktuell, solange Manfred Kanther noch sagt, Deutschland wäre kein Einwanderungsland.	*	*	*	73759	*	*	78848	*	*	*	
tueba-s104593-0	wissen	Ich weiß nicht, soll es 40 Millionen Ausländer geben, bevor das Einwanderungsland eingesehen wird.	*	77221	*	77221	*	*	77221	*	*	*	
tueba-s104638-2	sagen	Er weigere sich,' einen Schutzwall um die Innenstadt zu bauen', sagte Hattig weiter.	*	*	*	78848	*	*	*	78741	*	*	
tueba-s104647-4	sagen	Das Parlament und der Senat müßten sich von der Vorstellung verabschieden, daß die Freizeitparks' nur im Doppelpack' zu haben seien, sagte Trüpel daraufhin.	*	78848	*	78848	*	*	*	*	*	*	
tueba-s104677-0	sagen	Er sagt Sätze, die nach Tony Blair klingen:	*	*	*	78741	*	*	78848	*	*	*	
tueba-s104739-1	sagen	Es gibt, anders gesagt, keine Rationalisierung mehr für den linken Unwillen, sich mit dem kommunistischen Terror zu beschäftigen.	*	73759	*	73759	*	*	*	*	*	*	
tueba-s129-2	trinken	Er hat drei lila Streifen und trägt die Inschrift: Frauen trinken anders.	*	*	*	*	*	85835	*	85835	*	*	
tueba-s292-0	mögen	Daß auch türkische Eltern sie deshalb mögen, heißt aber nicht, daß die Türkin langweilig wäre.	*	73584	*	*	*	73584	*	*	*	*	
tueba-s1177-2	ändern	Die Fusion sei unumkehrbar, die damaligen Planungen weiterhin realistisch, und am Umtauschverhältnis zwischen Hypobank- und Vereinsbank-Aktien werde nichts geändert.	*	84160	*	*	*	84160	*	*	*	*	
tueba-s1369-0	weisen	Kindheitsmuster, die- Paeslers Kunstspielzeug weist den Weg- Farbmuster sind, die Geschlechtsmuster sind.	82722	*	*	*	*	82722	*	*	*	*	
tueba-s1850-0	suchen	Krebspatienten für Cannabis-Studie gesucht	82329	*	*	*	*	77562	*	82329	*	*	
tueba-s2048-0	machen	Das macht die' Deutsche Dienststelle' noch heute, sie hat die Unterlagen der WASt geerbt.	85607	*	*	*	*	82751	*	*	*	*	
tueba-s2361-0	schreiben	Zur Lage im Kosovo-Konflikt schreibt' El Mundo'/' Nesawissimaja Gaseta' sieht positive Ergebnisse des russischen Jugoslawien-Beauftragten Tschernomyrdin/' La Stampa' über die Ankunft des Albaner-Führers Rugova in Rom	78962	*	*	*	*	82842	*	*	*	*	
tueba-s2785-1	finden	Insgesamt 18 Personen sind es, die Platz finden müssen.	129656	*	*	*	*	129655	*	*	*	*	
tueba-s3136-0	scheinen	Soviel scheint klar: Die Zeit arbeitet gegen die Grünen.	73621	*	*	*	*	73621	73621	73621	*	*	
tueba-s3627-0	machen	Benignis melancholische Clownerie und das vorzügliche Spiel aller Beteiligten machen dieses ebenso bewegende wie burleske Lagermärchen zu einer hintergründigen Tragikomödie.'	*	73302	*	*	*	85607	*	*	*	*	
tueba-s5374-1	beginnen	Vor dem Landgericht hat gestern der Prozeß wegen eines blutigen Streits um eine freie Parklücke in der Koloniestraße begonnen.	83526	*	*	*	*	83526	*	83526	*	*	
tueba-s5505-2	sagen	Wie gesagt: Ich schreibe den Mist in dem Vorwort, woraufhin mir einige Frauen gehörig die Meinung gesagt haben.	78741	*	*	*	*	78848	*	*	*	*	
tueba-s6020-0	finden	Ich fand das ermutigend;	82307	*	*	*	*	77273	*	*	*	*	
tueba-s6398-0	suchen	Solange alle im Nationalismus Schutz suchen, ist es müßig über diese Dinge zu reden.	82329	*	*	*	*	77422	*	*	*	*	
tueba-s6538-3	sagen	Zudem seien sieben Haftbefehle gegen mutmaßliche Bandenmitglieder vollstreckt worden, sagte gestern der Leiter der Abteilung Organisierte Kriminalität im Landeskriminalamt, Manfred Quedzuweit.	78741	*	*	*	*	78848	78848	*	*	*	
tueba-s7430-1	sagen	Ich will gar nicht sagen, ob das besser war, damals, aber stabil war 's eben.	73759	*	*	*	*	78741	*	*	*	*	
tueba-s7436-1	beginnen	Dabei hatte der Tag eigentlich so schön begonnen.	*	*	*	*	*	83406	*	83406	*	*	
tueba-s8069-0	geben	Dem THW Kiel die deutsche Handball-Meisterschaft: Am letzten Spieltag gab es gestern für ein 35:22 gegen Gummersbach.	*	130716	*	*	*	73264	*	*	*	*	
tueba-s8687-1	erzählen	Suttner hat die Vorgeschichte schon so oft erzählt, daß sie inzwischen wie eine Legende klingt: Vor vielen Jahren sei er bei einem McCartney-Konzert in Dortmund gewesen(' wegen meiner Tochter', so Suttner) und habe am Rande in einem Interview gelesen, daß der Musiker eine ganze Menge selbstgemalter Öl- und Acrylbilder in seiner Garage aufbewahre.	*	78960	*	*	*	78960	*	*	*	*	
tueba-s8761-1	lernen	Das kann ein Krankenhaus wie das von Frau Dr. Uffland nur lernen: Die gesunde Kernzielgruppe der 14- bis 49jährigen müsse von der Medizin umworben werden; die über 50 kommen von selbst!	77499	*	*	*	*	77485	*	*	*	*	
tueba-s9366-0	kaufen	Das selbstgebastelte Medienimperium, wo es nicht nur Benefiz, sondern auch Musik und Fanzine, überteuerte Turnhemdchen und Socken zu kaufen gibt.	74296	*	*	*	*	74296	74296	74296	*	*	
tueba-s10302-1	sagen	Das kann man alles so sagen.	*	*	*	*	*	78741	73759	*	*	*	
tueba-s10977-0	sorgen	Eine junge Frau sorgt bei der konstituierenden Sitzung des neuen türkischen Parlaments für einen Eklat.	*	*	*	*	*	76015	77427	*	*	*	
tueba-s11160-1	glauben	Wir können uns diese linke Politik, die glaubt, alle Lektionen bereits gelernt zu haben, und unfähig ist, rasch, verläßlich und vielleicht sogar reflektiert neu zu lernen, in der Weltgesellschaft nicht mehr leisten.	77245	77229	77229	*	*	77245	*	*	*	*	
tueba-s11165-3	lernen	Und auf diese koloniale Ordnung, geben wir es zu, müssen wir insgeheim hoffen, weil wir es nicht gelernt haben, den Konflikt der Kulturen anders als kolonial zu denken.	77485	77485	*	*	*	77499	*	*	*	*	
tueba-s11414-0	betreffen	Was sein Geschwurbel betraf, versprach der Kolumnist, darüber nachzudenken.	*	76528	*	*	*	76528	*	*	*	*	
tueba-s11501-0	finden	Der FKK-Aktivist Tommy Creamer findet das Verhalten der Behörden spießig:	77273	*	*	*	*	77273	*	*	*	*	
tueba-s11747-2	machen	Es sei keine Zeit gewesen, ausreichend Werbung unter den Eltern zu machen.	75583	*	*	*	*	85607	*	*	*	*	
tueba-s12005-5	bleiben	Verwunderlich ist bei dieser naßforschen Schnittmenge aus Andy Warhols' Jeder ist ein Künstler' und denen, die des Lesens mächtig sind, daß der Raum und auch das auf einem Schreibtisch festgeklebte Schulheft( mit drei Hilfslinien!), in dem sich natürlich derselbe Satz in Schönschrift wiederfindet, von jeglichem Besuchervandalismus verschont geblieben scheinen.	89970	*	*	*	*	73680	*	*	*	*	
tueba-s12033-0	erzählen	Gute Geschichten erzählen ist besser, als Special Effects perfekt zu beherrschen: Das Studentenfilmfestival' SehSüchte' in Potsdam	78960	*	*	*	*	78960	*	*	*	*	
tueba-s12042-1	erzählen	Eine Diskussion im Beiprogramm der Studentenfilmtage der Hochschule für Film und Fernsehen' Konrad Wolf', deren gemeinsamer Nenner das verläßlichste Kriterium für alle 136 Filmbeiträge lieferte: Der verzweifelte Drang, Geschichten erzählen zu wollen, macht den guten Regisseur aus, alles Wissen um Special Effects und Digital Producing kann den miesen Plot nicht retten.	*	*	78960	*	*	78960	*	*	*	*	
tueba-s12103-2	sagen	' Die Schüler haben einfach Angst, und es fällt ihnen schwer, das zu sagen', berichtet Brian Quinby, Betreuer an einer Internatsschule in der Nähe von Chicago.	78848	*	*	*	*	78848	78848	*	*	*	
tueba-s12342-0	benötigen	Der Strukturwandel in Ostdeutschland benötige noch langanhaltende Anstrengungen in Ost und West, sagte Schwanitz gestern.	85725	*	*	*	*	85725	*	*	*	*	
tueba-s12540-4	sagen	Es ist ein Heimspiel: Wenn Halfod für Labour verlorenginge, dann würden die Fernsehsender ihre Programme unterbrechen, sagt einer ihrer Wahlhelfer.	*	*	*	*	*	78848	78741	*	*	*	
tueba-s12605-0	bleiben	Ideologisch blieb die Kandidatin der tendenziell eher konservativen Partei schwammig und unterschied sich darin nicht von ihrem größten Konkurrenten.	89970	*	73680	*	*	89970	*	*	*	*	
tueba-s13046-1	machen	Inzwischen hat das Ehepaar Demir die Papiere, die es zu Deutschen machen, überreicht bekommen.	87005	*	*	*	*	85607	*	*	*	*	
tueba-s13256-0	machen	Die Auslassungen von Innensenator Ralf Borttscheller beim Jubiläum des Fachverbandes Bremer Standesbeamter macht sein antiquiertes Verständnis der heutigen Gesellschaft deutlich.	85607	*	*	*	*	85607	*	*	*	*	
tueba-s13573-2	beginnen	Ein großer Genuß war es auch, ihn bei Memphis Underground zu hören, das mit einem bossa-artigen Groove begann, um bei einem mitreißenden Funk-Beat zu landen.	83526	*	*	*	*	83526	*	*	*	*	
tueba-s13833-0	erzeugen	Die Anlage erzeugt jährlich rund 800.000 Kilowattstunden umweltfreundlichen Strom.	*	*	82767	*	*	110183	*	*	*	*	
tueba-s14222-2	machen	Nun ist es passiert: Die Betreiberfirma des Musicals Jekyll & Hyde macht der PDS Beine, weil das Wahlplakat dem Design des Musical-Logos nachempfunden ist.	75583	85607	*	*	*	82751	*	*	*	*	
tueba-s14790-1	machen	Mit Fußball kann angesichts der Rechtepreise schließlich kein Sender Gewinn machen.	85607	82751	*	*	*	82751	*	*	*	*	
tueba-s14837-2	erreichen	Und dennoch schnappt man nach dem Film nach Luft und fragt sich, wen er erreichen wird.	*	*	*	*	*	81830	79604	*	*	*	
tueba-s15341-4	berücksichtigen	Unter dem Motto' Berlin: Offene Stadt' soll in diesem Sommer die Stadt selbst zur Ausstellung werden: Auf zehn verschiedenen Routen können Touristen und Berliner das' Neue Berlin' kennenlernen, wobei auch traditionelle Gebäude berücksichtigt werden.	*	*	*	*	*	78343	77750	*	*	*	
tueba-s15342-1	sagen	' Das Bestaunen der neuen Bauten reicht nicht aus', sagte Cornelius Hertling, Präsident der Architektenkammer.	*	*	*	*	*	78848	*	78741	*	*	
tueba-s15843-2	sagen	' Ein Gesetz allein wird in den Köpfen der Leute nichts ändern', sagt Simone.	*	78848	*	*	*	78848	*	*	*	*	
tueba-s16106-1	stellen	Der russische Verteidigungsminister Igor Sergejew hat gestern eine Beteiligung seines Landes an einer internationalen Friedenstruppe im Kosovo in Aussicht gestellt.	*	80844	*	*	*	80844	*	*	*	*	
tueba-s17101-0	steigen	In Preisen von 1991 stieg die Produktivität je Beschäftigten im Westen von 1960 auf 1996 um das Zweieinhalbfache.	*	*	*	*	*	83950	83950	*	*	*	
tueba-s17377-2	machen	Aber Premier Heath hatte die Wahlen verloren und sich in weiten Teilen seiner Partei wegen seiner Arroganz unbeliebt gemacht.	73302	*	*	*	*	85607	*	*	*	87005	
tueba-s17398-3	mögen	Angsthasen verachtete sie, aber Rebellen erging es meist noch schlechter- sie wechselte sie einfach aus, denn Thatcher mochte es gar nicht, wenn ihr widersprochen wurde.	*	73584	*	*	*	73584	*	*	*	*	
tueba-s17567-0	entsprechen	Ergebnis: Viele der Tests entsprechen nicht dem Standard der Wissenschaft.	*	76442	*	*	*	76442	*	*	*	*	
tueba-s17601-0	suchen	Schließlich sucht der Personalentwickler' Führungspotential', das die Bewerberin jenseits des' Fachlichen' verortet:	82329	*	*	*	*	82329	*	*	*	*	
tueba-s17827-0	lassen	Einmal lasse ich vom Hausmeister ihre Wohnung aufschließen, eine andere Freundin ruft die Feuerwehr.	*	*	*	*	*	109386	*	*	*	109385	
tueba-s18382-2	sagen	Wohin Handke in seinem Einbaum eigentlich will, ist nicht so ganz klar, obwohl er es vor drei Jahren in seinem Reisebericht' Gerechtigkeit für Serbien' gesagt hat.	78848	*	*	*	*	78741	78848	*	*	*	
tueba-s18390-0	erinnern	Die' neue Häuptlingsgeneration', erinnert er sich, hatte in den Balkankriegen von 1912 bis 1914 für und gegen nationalstaatliche Gebietsaufteilungen gekämpf und stellte nun dem montenegrinischen König Nikola' ergebene Beamte und Offiziere'.	*	*	*	*	*	79501	77223	*	*	*	
tueba-s19033-0	finden	So findet deren schulpolitische Sprecherin, Marion Kittelmann, daß Laube' ein hohes Maß an Sachverstand, gemischt mit Pragmatik' habe.	77273	*	*	*	*	77273	*	*	*	*	
